request,number_of_views,date
вконтакте,2,2025-02-11
вконтакте,5,2025-02-19
авито,2,2025-02-17
переводчик,3,2025-02-16
погода,3,2025-02-16
вк,5,2025-02-15
фильмы,1,2025-02-12
спорт,1,2025-02-10
переводчик,5,2025-02-15
музыка,3,2025-02-18
работа,3,2025-02-12
ютуб,5,2025-02-14
переводчик,1,2025-02-14
игры,4,2025-02-14
авито,1,2025-02-19
работа,4,2025-02-13
вконтакте,3,2025-02-18
музыка,3,2025-02-19
музыка,3,2025-02-14
авито,3,2025-02-11
фильмы,1,2025-02-19
авито,5,2025-02-16
вк,4,2025-02-11
погода,5,2025-02-16
карта,2,2025-02-17
переводчик,4,2025-02-16
карта,3,2025-02-16
спорт,1,2025-02-13
вк,1,2025-02-16
переводчик,2,2025-02-16
спорт,4,2025-02-15
музыка,1,2025-02-19
ютуб,2,2025-02-18
игры,3,2025-02-11
новости,1,2025-02-15
игры,1,2025-02-12
котики,4,2025-02-18
вк,2,2025-02-11
игры,3,2025-02-10
карта,3,2025-02-10
карта,3,2025-02-19
котики,3,2025-02-14
вк,5,2025-02-16
спорт,3,2025-02-17
спорт,2,2025-02-12
фильмы,2,2025-02-18
спорт,5,2025-02-10
игры,4,2025-02-19
фильмы,1,2025-02-19
работа,4,2025-02-13
